backend,topology,side,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us
oshmpi,2n4g,256,84.71193333333333,84.71193333333333,84.71193333333333,1,3,84.71193333333333
oshmpi,4n4g,256,93.2535,93.2535,93.2535,1,3,93.25349999999999
oshmpi,8n4g,256,121.301,121.301,121.301,1,3,121.301
oshmpi,1n1g,512,59.1434,59.1434,59.1434,1,3,59.14339999999999
oshmpi,1n2g,512,69.16376666666667,69.16376666666667,69.16376666666667,1,3,69.16376666666667
oshmpi,1n4g,512,73.4148,73.4148,73.4148,1,3,73.4148
oshmpi,2n1g,512,71.0052,71.0052,71.0052,1,3,71.0052
oshmpi,2n4g,512,84.93466666666667,84.93466666666667,84.93466666666667,1,3,84.93466666666667
oshmpi,4n4g,512,93.24006666666666,93.24006666666666,93.24006666666666,1,3,93.24006666666666
oshmpi,8n4g,512,125.061,125.061,125.061,1,3,125.06099999999999
oshmpi,1n1g,1024,75.50526666666667,75.50526666666667,75.50526666666667,1,3,75.50526666666667
oshmpi,1n2g,1024,78.58826666666667,78.58826666666667,78.58826666666667,1,3,78.58826666666666
oshmpi,1n4g,1024,76.81443333333333,76.81443333333333,76.81443333333333,1,3,76.81443333333333
oshmpi,2n1g,1024,82.00353333333332,82.00353333333332,82.00353333333332,1,3,82.00353333333332
oshmpi,2n4g,1024,87.8483,87.8483,87.8483,1,3,87.8483
oshmpi,4n4g,1024,95.5227,95.5227,95.5227,1,3,95.5227
oshmpi,8n4g,1024,128.94333333333333,128.94333333333333,128.94333333333333,1,3,128.94333333333333
oshmpi,1n1g,2048,116.58766666666666,116.58766666666666,116.58766666666666,1,3,116.58766666666668
oshmpi,1n2g,2048,94.62616666666666,94.62616666666666,94.62616666666666,1,3,94.62616666666668
oshmpi,1n4g,2048,94.22463333333333,94.22463333333333,94.22463333333333,1,3,94.22463333333333
oshmpi,2n1g,2048,98.5881,98.5881,98.5881,1,3,98.5881
oshmpi,2n4g,2048,97.71593333333334,97.71593333333334,97.71593333333334,1,3,97.71593333333334
oshmpi,4n4g,2048,100.53933333333333,100.53933333333333,100.53933333333333,1,3,100.53933333333333
oshmpi,8n4g,2048,128.15566666666666,128.15566666666666,128.15566666666666,1,3,128.15566666666666
oshmpi,1n1g,4096,279.552,279.552,279.552,1,3,279.55199999999996
oshmpi,1n2g,4096,185.34666666666666,185.34666666666666,185.34666666666666,1,3,185.34666666666666
oshmpi,1n4g,4096,135.829,135.829,135.829,1,3,135.82899999999998
oshmpi,2n1g,4096,189.40166666666667,189.40166666666667,189.40166666666667,1,3,189.40166666666667
oshmpi,2n4g,4096,115.891,115.891,115.891,1,3,115.891
oshmpi,4n4g,4096,117.665,117.665,117.665,1,3,117.665
oshmpi,8n4g,4096,140.31133333333332,140.31133333333332,140.31133333333332,1,3,140.31133333333332
oshmpi,1n1g,8192,937.4443333333334,937.4443333333334,937.4443333333334,1,3,937.4443333333334
oshmpi,1n2g,8192,512.1153333333333,512.1153333333333,512.1153333333333,1,3,512.1153333333333
oshmpi,1n4g,8192,298.337,298.337,298.337,1,3,298.337
oshmpi,2n1g,8192,517.2916666666666,517.2916666666666,517.2916666666666,1,3,517.2916666666666
oshmpi,2n4g,8192,206.00266666666667,206.00266666666667,206.00266666666667,1,3,206.00266666666667
oshmpi,4n4g,8192,161.06933333333333,161.06933333333333,161.06933333333333,1,3,161.06933333333333
oshmpi,8n4g,8192,156.58533333333332,156.58533333333332,156.58533333333332,1,3,156.58533333333332
oshmpi,1n1g,16384,3553.0,3553.0,3553.0,1,3,3553.0
oshmpi,1n2g,16384,1842.52,1842.52,1842.52,1,3,1842.5200000000002
oshmpi,1n4g,16384,964.7280000000001,964.7280000000001,964.7280000000001,1,3,964.7280000000001
oshmpi,2n1g,16384,1849.1733333333334,1849.1733333333334,1849.1733333333334,1,3,1849.1733333333334
oshmpi,2n4g,16384,535.9113333333333,535.9113333333333,535.9113333333333,1,3,535.9113333333333
