benchmark,topology,backend,bytes,on_us,off_us,off_over_on
alltoall,1n1g,cuda_mpi,262144,8.74607,8.51894333,0.9740310024959783
alltoall,1n1g,sycl_mpi,4,7.90394,7.98041,1.0096749216213685
alltoall,1n1g,sycl_mpi,8,8.03300333,7.96774667,0.9918764306051895
alltoall,1n1g,sycl_mpi,16,8.02347667,8.00718,0.9979688767512799
alltoall,1n1g,sycl_mpi,32,8.06904667,8.04430333,0.9969335485328157
alltoall,1n1g,sycl_mpi,64,8.03709333,8.06583333,1.0035759196540275
alltoall,1n1g,sycl_mpi,128,8.07989667,8.08201,1.0002615540874238
alltoall,1n1g,sycl_mpi,256,8.07127,8.08511333,1.001715136527461
alltoall,1n1g,sycl_mpi,512,8.08254,8.02528667,0.9929164186010834
alltoall,1n1g,sycl_mpi,1024,8.03778667,7.99252333,0.994368681098624
alltoall,1n1g,sycl_mpi,2048,7.99888333,7.98658,0.9984618690519143
alltoall,1n1g,sycl_mpi,4096,8.22438333,8.05676333,0.9796191406365297
alltoall,1n1g,sycl_mpi,8192,8.32057333,8.27961333,0.9950772623020678
alltoall,1n1g,sycl_mpi,16384,8.40020667,8.36914333,0.9963020743155121
alltoall,1n1g,sycl_mpi,32768,8.36920333,8.35733333,0.9985817049088231
alltoall,1n1g,sycl_mpi,65536,8.47316667,8.42515667,0.9943338775371924
alltoall,1n1g,sycl_mpi,131072,8.55265667,8.56656667,1.0016263952286069
alltoall,1n1g,sycl_mpi,262144,8.7187,8.74501,1.0030176517141318
alltoall,1n2g,cuda_mpi,4,5.53186,11.7182667,2.118323077590539
alltoall,1n2g,cuda_mpi,8,5.49214667,11.6214333,2.116009276205291
alltoall,1n2g,cuda_mpi,16,3.50367333,10.4835333,2.9921548936184643
alltoall,1n2g,cuda_mpi,32,4.39294667,10.5279333,2.3965538602816685
alltoall,1n2g,cuda_mpi,64,4.5722,11.2255333,2.4551710992520017
alltoall,1n2g,cuda_mpi,128,5.35439333,11.4292667,2.1345586690397287
alltoall,1n2g,cuda_mpi,256,4.86487333,11.8228667,2.430251704004799
alltoall,1n2g,cuda_mpi,512,6.66437667,12.3342333,1.8507707338216821
alltoall,1n2g,cuda_mpi,1024,12.1097,17.6719333,1.4593204868824166
